,Unnamed: 0,headline,score,date,newsroom
15,15,up election 2017: former pm atal bihari vajpayee unlikely to cast his vote,0.0,2017-02-17,NDTV News
16,16,trending: akhilesh yadav is don in this up elections spoof video,0.0,2017-02-17,NDTV News
17,17,"up election 2017: leading the real samajwadi party, says chief minister akhilesh yadav",0.0,2017-02-17,NDTV News
18,18,"we were promised ddlj shah rukh, got sholay's gabbar singh: rahul gandhi's dig at pm modi",0.0,2017-02-17,NDTV News
19,19,up elections 2017: bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-17,NDTV News
20,20,"up election 2017: bsp may enter into an alliance with bjp after polls, says akhilesh yadav",0.0,2017-02-17,FirstPost news
21,21,"up election 2017: the state needs no 'adopted son', says priyanka gandhi on modi's remark",0.0,2017-02-17,FirstPost news
22,22,"up election 2017: rahul's raebareli roadshow falls flat, but priyanka gandhi saves the day for congress",0.561998,2017-02-17,FirstPost news
23,23,"up election 2017: mayawati, akhilesh could not bring development in state, says amit shah",0.0,2017-02-17,FirstPost news
24,24,"up election 2017: rahul gandhi retorts to modi's 'adopted son' remark, says relations more than mere talking points",0.0,2017-02-17,FirstPost news
25,25,up election 2017: bjp's solitary reaper in bundelkhand confident of a repeat victory,0.0,2017-02-17,FirstPost news
26,26,up election 2017: congress has still not defused the ticking time bomb it planted in sp's backyard,0.0,2017-02-17,FirstPost news
27,27,disgruntled samajwadi mlas in poll battle to defeat akhilesh,-0.718228,2017-02-17,TimesOfIndia News
28,28,bjp slams akhilesh yadav over sc order against tainted minister,0.0,2017-02-17,TimesOfIndia News
29,29,"priyanka gandhi attacks pm modi: why refer to women as only mother, daughter?",0.0,2017-02-17,TimesOfIndia News
30,30,"mayawati, akhilesh could not bring development in up: amit shah",0.0,2017-02-17,TimesOfIndia News
31,31,"pm modi promised like ddlj's shah rukh khan, turned out sholay's gabbar: rahul gandhi",0.0,2017-02-17,TimesOfIndia News
32,32,"i am leading 'the real' sp, says akhilesh yadav; warns detectors",0.0,2017-02-17,TimesOfIndia News
33,33,priyanka gandhi's attack on pm modi: uttar pradesh doesn't need 'adopted sons',0.0,2017-02-17,TimesOfIndia News
34,34,"arvind kejriwal trolls narendra modi on twitter, says he appears 'nervous'",-0.499089,2017-02-17,TimesOfIndia News
35,35,'akhilesh yadav brands self in up like narendra modi did in gujarat',0.0,2017-02-17,TimesOfIndia News
36,36,happy to turn up election into vote on note ban: amit shah,0.632676,2017-02-17,TimesOfIndia News
37,37,happy to turn up election into vote on note ban: amit shah,0.632676,2017-02-17,TimesOfIndia News
38,38,"akhilesh aims at uncle, targets one person",0.0,2017-02-17,TimesOfIndia News
39,39,tipus cycle runs into mulayam ke log',0.0,2017-02-17,TimesOfIndia News
40,40,"i am an adopted son of up, says pm narendra modi",0.0,2017-02-17,TimesOfIndia News
41,41,aparna yadav: the birth of a samajwadi neta,0.0,2017-02-17,TimesOfIndia News
42,42,will accept berth in akhilesh yadav cabinet: shivpal yadav,0.0,2017-02-17,TimesOfIndia News
43,43,"our party gave lovers space, bjp will harass them, says dimple yadav",-0.723386,2017-02-17,TimesOfIndia News
44,44,akhilesh hurt himself by allying with congress: amit shah,-0.655797,2017-02-17,TimesOfIndia News
45,45,bjp slams akhilesh over sc order against tainted minister,0.0,2017-02-17,Zee news
46,46,up doesn't need an 'outsider' like pm narendra modi: priyanka gandhi,0.0,2017-02-17,Zee news
47,47,"azam khan sparks fresh controversy, says muslims deliver more kids as they are unemployed",-0.702086,2017-02-17,Zee news
48,48,when rahul gandhi enacted pm narendra modi's reaction to his request to waive off farmers' loan - watch,-0.371529,2017-02-17,Zee news
49,49,sp-congress alliance will counter communal forces in up: akhilesh,0.0,2017-02-17,Zee news
50,50,"i am leading real samajwadi party, says akhilesh yadav; warns detectors",0.0,2017-02-17,Zee news
51,51,samajwadi party's prestige at stake in capital lucknow's 9 seats,0.0,2017-02-17,Zee news
52,52,"priyanka gandhi's first up poll rally today, to campaign with rahul in raebareli",0.0,2017-02-17,Zee news
53,53,"fir lodged against senior sp minister gayatri prajapati, 6 others in connection with gangrape",0.0,2017-02-18,FirstPost news
54,54,up election 2017: bjp should not listen to the voices of its own echo chamber,0.0,2017-02-18,FirstPost news
55,55,"rahul took cycle ride after khaat sabha flop, rajnath singh says",0.0,2017-02-18,TimesOfIndia News
56,56,"up will elect its own daughter, not adopted son, mayawati says",0.0,2017-02-18,TimesOfIndia News
57,57,"samajwadi party is a protector of rapists, smriti irani says",-0.614793,2017-02-18,TimesOfIndia News
58,58,"stakes high for sp, bjp in lucknow assembly seats",0.0,2017-02-18,TimesOfIndia News
59,59,"rahul, akhilesh love each others company: smriti irani",0.0,2017-02-18,TimesOfIndia News
0,0,samajwadi party at a crossroads in yadav heartland,0.0,2017-02-18,TimesOfIndia News
1,1,amit shah: sp-congress tie up a last minute stopgap measure,0.0,2017-02-18,TimesOfIndia News
2,2,up's longest bridge turns into a specimen of #kaamboltahai,0.0,2017-02-18,TimesOfIndia News
3,3,modi started as srk but has become gabbar: rahul gandhi,0.0,2017-02-18,TimesOfIndia News
4,4,cbi accuses sp leader aman mani tripathi of murdering wife sara singh ,0.0,2017-02-18,Zee news
5,5,bjp will form 'majority' government in up: amit shah,0.0,2017-02-18,Zee news
6,6,"priyanka gandhi seeking votes for murder, rape accused unfortunate: bjp",-0.730588,2017-02-18,Zee news
7,7,rahul gandhi took cycle ride after khaat sabha flop: rajnath singh,0.0,2017-02-18,Zee news
8,8,"by forging an alliance of two ""corrupt families"", akhilesh yadav has conceded defeat: amit shah",-0.427717,2017-02-18,Zee news
9,9,"up elections 2017: with eid, holi reference, pm narendra modi attacks akhilesh yadav on 'discrimination'",0.0,2017-02-19,NDTV News
10,10,"up elections 2017: 'let modi talk. up adopted samajwadi party,' says mulayam singh",0.0,2017-02-19,NDTV News
11,11,"up election 2017: there should be no discrimination, says pm narendra modi in fatehpur",0.0,2017-02-19,NDTV News
12,12,"up election 2017: bsp chief mayawati casts her vote in lucknow, confident of victory",0.0,2017-02-19,NDTV News
13,13,up elections 2017: 62% turnout in phase 3 as up votes in samajwadi strongholds - 10 points,0.0,2017-02-19,NDTV News
14,14,"up elections 2017: samajwadi party is a 'protector of rapists', says smriti irani",-0.534195,2017-02-19,NDTV News
15,16,sp held congress' hand because the party was staring at defeat: nitin gadkari,0.0,2017-02-19,FirstPost news
16,17,up election 2017: parched bundelkhand gears up for polls as akhilesh yadav waves list of achievements,0.0,2017-02-19,FirstPost news
17,18,"akhilesh yadav casts vote in saifai, ducks questions on mulayam-shivpal",0.0,2017-02-19,FirstPost news
18,19,"up election highlights: polling closed for third phase, 61.16% voter turnout recorded till 5 pm",0.0,2017-02-19,FirstPost news
19,20,"ravi shankar prasad slams rahul gandhi, says congress will ditch sp",0.0,2017-02-19,TimesOfIndia News
20,21,over 60% polling recorded in mulayam singh's citadel,0.0,2017-02-19,TimesOfIndia News
21,22,"akhilesh will become cm again, no rift in sp, mulayam singh yadav says",0.0,2017-02-19,TimesOfIndia News
22,23,"ravi shankar prasad dares congress, sp, bsp to clarify stand on triple talaq",0.0,2017-02-19,TimesOfIndia News
23,24,up polls: over 55 per cent turnout till 4pm,0.0,2017-02-19,TimesOfIndia News
24,25,"pm modi says 'goonda raj' in up; akhilesh, rahul hit back, warn of note ban fallout",-0.582308,2017-02-19,TimesOfIndia News
25,26,"people will take revenge on bjp for note ban: rahul, akhilesh",0.0,2017-02-19,TimesOfIndia News
26,27,"up polls phase 4: over 44 per cent turnout till 2pm, polling peaceful",0.0,2017-02-19,TimesOfIndia News
27,28,"no rift in samajwadi party, akhilesh yadav will become cm again, says mulayam singh yadav",0.0,2017-02-19,TimesOfIndia News
28,29,"'goonda raj' in up, even sc has to intervene, pm modi says",0.0,2017-02-19,TimesOfIndia News
29,30,"staring at defeat, sp held congress' hand: gadkari",0.0,2017-02-19,TimesOfIndia News
30,31,up polls: akhilesh voted for 'sp candidate' but mulayam wasn't accompanying him,0.0,2017-02-19,TimesOfIndia News
31,32,mayawati confident over forming government,0.653835,2017-02-19,TimesOfIndia News
32,33,"bjp: it's unfortunate, priyanka gandhi sought votes for criminal",-0.752839,2017-02-19,TimesOfIndia News
33,34,bjp sends personalised letters to win over voters,0.0,2017-02-19,TimesOfIndia News
34,35,will mulayam singh yadav accompany son or brother?,0.0,2017-02-19,TimesOfIndia News
35,36,"bjp, bsp no pushover in yadav land",0.0,2017-02-19,TimesOfIndia News
36,37,phase iii: sp strives to repeat its 2012 show,-0.799018,2017-02-19,TimesOfIndia News
37,38,"bsp, bjp eye rich pickings in mulayams stronghold",0.0,2017-02-19,TimesOfIndia News
38,39,"crorepatis in fray, not this mayawati",-0.615812,2017-02-19,TimesOfIndia News
39,40,"now, e-file nomination for more transparency",0.0,2017-02-19,TimesOfIndia News
40,41,sp-congress alliance against lohia's ideology: amit shah,0.0,2017-02-19,TimesOfIndia News
41,42,"up election phase 3: in litmus test, sp eyes rerun of 2012 sweep",0.0,2017-02-19,TimesOfIndia News
42,43,"up polls: akhilesh will become cm again, no rift in sp, says mulayam singh yadav",0.0,2017-02-19,Zee news
43,44,up polls: over 61 percent voter turnout recorded till 5 pm,0.0,2017-02-19,Zee news
44,45,"triple talaq is 'pernicious social practice', says ravi shankar prasad; dares congress, sp, bsp to clarify stand",0.0,2017-02-19,Zee news
45,46,"samajwadi party government brought development, uttar pradesh will again elect akhilesh yadav: mulayam singh",0.0,2017-02-19,Zee news
46,47,full speech: pm narendra modi's rally in uttar pradesh's fatehpur - watch ,0.0,2017-02-19,Zee news
47,48,"akhilesh yadav casts vote, ducks questions on mulayam-shivpal",0.0,2017-02-19,Zee news
48,49,"up polls: samajwadi cycle will lead in third phase as well, says akhilesh yadav",0.0,2017-02-19,Zee news
49,50,'bjp is winning by absolute majority in uttar pradesh assembly elections',0.0,2017-02-19,Zee news
50,51,"up polls 2017: mayawati casts vote in lucknow, claims a wave in bsp favour ",0.0,2017-02-19,Zee news
51,52,uttar pradesh assembly elections 2017: pm narendra modi appeals to voters to participate largely in festival of democracy,0.0,2017-02-19,Zee news
52,53,"up elections 2017: bsp is behenji sampatti party, says pm modi. livid mayawati hits back.",0.0,2017-02-20,NDTV News
53,54,up elections 2017: the rally at which akhilesh yadav debuted 'donkeys of gujarat' jibe,0.0,2017-02-20,NDTV News
0,0,up elections 2017: the rally at which akhilesh yadav debuted 'donkeys of gujarat' jibe,0.0,2017-02-20,NDTV News
1,1,"up elections 2017: after pm's taunt, rape-accused minister gayatri prajapati not on stage with akhilesh yadav",0.0,2017-02-20,NDTV News
2,2,"up elections 2017: with 'gujarat's donkeys', akhilesh yadav's dig at pm narendra modi, amitabh bachchan",0.0,2017-02-20,NDTV News
3,3,"up election 2017: will transform bundelkhand like kutch, says pm narendra modi",0.0,2017-02-20,NDTV News
4,4,up elections 2017: congress to approach poll panel against pm narendra modi's remark,0.0,2017-02-20,NDTV News
5,5,up election 2017: tension mounts for akhilesh yadav as samajwadi rebels challenge party,0.0,2017-02-20,NDTV News
6,6,rape accused up minister gayatri prajapati to get akhilesh yadav's backing in amethi today,0.0,2017-02-20,NDTV News
7,7,"up elections 2017: 'our alliance wiped smile off pm modi's face,' says rahul gandhi",0.0,2017-02-20,NDTV News
8,8,"up election 2017: modi confident of bjp forming next govt, promises to curb land mafia in state",0.0,2017-02-20,FirstPost news
9,9,up election 2017: akhilesh yadav urges amitabh bachchan to not endorse 'gujarat's donkeys',0.0,2017-02-20,FirstPost news
